,planet_orbital_inclination,planet_density,right_ascension,declination,host_temperature,host_mass,host_radius
3254,,,19h46m32.84s,+43d48m10.1s,5630.0,0.96,0.95
3255,,0.442,19h35m02.00s,+41d52m18.7s,4840.0,1.32,4.23
3256,,1.06,19h35m02.00s,+41d52m18.7s,4840.0,1.32,4.23
3257,,,19h35m02.00s,+41d52m18.7s,4840.0,1.32,4.23
3258,,,20h00m49.46s,+45d01m05.3s,3556.0,0.34,0.33
3259,,,19h34m59.30s,+45d06m26.0s,5646.0,0.96,0.94
3260,,,19h34m59.30s,+45d06m26.0s,5646.0,0.96,0.94
3261,,,19h20m28.71s,+46d16m25.7s,5575.0,0.93,0.9
3262,,,19h29m47.11s,+46d17m23.2s,5066.0,0.8,0.77
3263,,,19h47m21.21s,+46d37m35.1s,5626.0,0.95,0.92
3264,,,18h54m28.31s,+47d11m48.1s,5735.0,0.98,0.95
3265,,,19h26m13.08s,+47d48m52.1s,5132.0,0.83,0.79
3266,,,19h50m41.43s,+48d18m08.3s,5148.0,0.84,0.79
3267,,,19h52m25.37s,+48d24m04.1s,3768.0,0.55,0.53
3268,,,18h54m01.75s,+48d33m09.4s,5616.0,0.95,0.93
3269,,,19h34m33.91s,+44d39m25.3s,5145.0,0.83,0.73
3270,,,19h34m33.91s,+44d39m25.3s,5145.0,0.83,0.73
3271,,,19h21m45.02s,+48d47m30.8s,5496.0,0.93,0.9
3272,,,19h06m12.24s,+49d25m07.5s,5527.0,0.93,0.9
3273,,,19h24m53.06s,+50d34m52.7s,5212.0,0.83,0.79
3274,,,19h18m05.08s,+51d14m14.3s,5746.0,0.99,1.02
3275,,,19h20m59.29s,+52d08m56.9s,5612.0,0.95,0.91
3276,,,19h07m51.33s,+37d49m46.9s,5710.0,0.97,0.95
3277,,,19h40m43.90s,+38d39m15.2s,5672.0,0.99,0.97
3278,,,19h38m50.86s,+39d04m25.5s,4984.0,0.78,0.73
3279,,,19h15m01.19s,+39d33m49.2s,5334.0,0.87,0.83
3280,,,19h40m00.49s,+39d57m10.5s,5636.0,0.99,0.96
3281,,,19h45m26.08s,+39d06m54.7s,6099.0,,1.13
3282,,,19h45m26.08s,+39d06m54.7s,6099.0,,1.13
3283,,,19h45m26.08s,+39d06m54.7s,6099.0,,1.13
3284,,,18h53m59.96s,+40d33m10.1s,4298.0,0.67,0.64
3285,,,19h41m43.87s,+40d38m53.7s,5772.0,1.0,1.0
3286,,,19h50m00.88s,+41d03m25.3s,5564.0,0.93,0.91
3287,,,18h48m26.72s,+42d21m16.2s,5523.0,0.94,0.91
3288,,,19h12m55.34s,+42d24m49.0s,6195.0,1.17,1.24
3289,,,19h06m06.84s,+43d52m24.3s,5593.0,0.96,0.93
3290,,,19h32m13.73s,+45d33m04.3s,5575.0,0.94,0.92
3291,,,19h14m40.97s,+47d23m56.9s,5549.0,0.92,0.89
3292,,,18h57m01.73s,+47d41m20.2s,5835.0,1.01,1.0
3293,,,18h42m33.93s,+47d45m07.0s,5296.0,0.88,0.83
3294,,,19h08m09.48s,+46d38m24.5s,6074.0,1.04,0.94
3295,,,19h08m09.48s,+46d38m24.5s,6074.0,1.04,0.94
3296,,,19h45m32.53s,+48d14m00.4s,6000.0,1.1,1.15
3297,,,19h04m05.77s,+48d25m54.4s,5677.0,0.97,0.94
3298,,,19h03m09.76s,+48d40m59.7s,5913.0,1.04,1.04
3299,,,19h39m48.35s,+48d39m04.3s,5967.0,1.08,1.1
3300,,,19h15m41.18s,+49d45m43.3s,5485.0,0.91,0.87
3301,,,19h38m16.89s,+50d40m22.9s,5247.0,0.87,0.83
3302,,,19h18m00.16s,+51d41m08.6s,6267.0,1.21,1.32
3303,,,19h33m52.83s,+39d15m10.1s,5683.0,0.97,0.95
3304,,,19h32m29.62s,+40d56m05.2s,5307.0,0.87,0.86
3305,,,19h32m29.62s,+40d56m05.2s,5307.0,0.87,0.86
3306,,,19h03m38.76s,+41d04m10.0s,5127.0,0.83,0.79
3307,88.93,0.4,19h47m20.94s,+48d14m23.9s,5647.0,1.21,1.39
3308,,4.62,19h15m50.70s,+42d15m54.0s,5905.0,1.04,1.26
3309,,3.06,19h15m50.70s,+42d15m54.0s,5905.0,1.04,1.26
3310,,2.91,19h15m50.70s,+42d15m54.0s,5905.0,1.04,1.26
3311,,,18h55m19.93s,+41d58m43.1s,5279.0,0.84,0.81
3312,,,18h48m01.11s,+42d10m35.5s,5160.0,0.85,0.79
3313,,,19h44m07.68s,+42d08m31.0s,6062.0,1.08,1.13
3314,,,19h37m07.44s,+42d17m27.5s,5808.0,1.01,1.01
3315,,,19h37m07.44s,+42d17m27.5s,5808.0,1.01,1.01
3316,,,19h37m07.44s,+42d17m27.5s,5808.0,1.01,1.01
3317,,,19h29m15.84s,+42d37m34.5s,5890.0,1.02,1.03
3318,,,19h09m10.90s,+43d16m47.5s,5462.0,0.91,0.88
3319,,,19h09m10.90s,+43d16m47.5s,5462.0,0.91,0.88
3320,,,19h29m42.57s,+44d22m52.6s,6161.0,1.13,1.22
3321,,,19h24m13.73s,+44d37m56.6s,5196.0,0.84,0.8
3322,,,19h35m31.90s,+44d38m17.1s,5820.0,1.0,1.01
3323,,,19h28m52.88s,+44d42m00.1s,5971.0,1.09,1.14
3324,89.8,,19h41m13.08s,+42d28m31.0s,4017.0,0.64,0.62
3325,,,19h32m41.12s,+45d03m56.2s,5943.0,1.1,1.13
3326,,,19h32m41.12s,+45d03m56.2s,5943.0,1.1,1.13
3327,,,19h04m01.19s,+45d28m49.4s,5761.0,1.01,1.01
3328,,,19h25m25.11s,+45d44m52.4s,5693.0,0.98,0.96
3329,,,18h51m08.84s,+46d14m42.0s,5723.0,0.98,0.96
3330,,,19h53m32.36s,+46d16m33.8s,5268.0,0.85,0.81
3331,,,18h49m48.14s,+46d19m17.1s,4655.0,0.73,0.69
3332,,,19h39m57.39s,+46d50m18.0s,5753.0,0.98,0.97
3333,,,19h39m57.39s,+46d50m18.0s,5753.0,0.98,0.97
3334,,,18h54m57.77s,+47d30m58.7s,3712.0,0.51,0.48
3335,,,19h04m59.96s,+48d03m39.4s,5860.0,1.05,1.08
3336,,,19h23m23.77s,+48d24m57.7s,5980.0,1.09,1.11
3337,,,19h23m23.77s,+48d24m57.7s,5980.0,1.09,1.11
3338,89.2,,18h52m51.06s,+45d20m59.5s,4925.0,0.69,0.64
3339,89.7,,18h52m51.06s,+45d20m59.5s,4925.0,0.69,0.64
3340,89.7,,18h52m51.06s,+45d20m59.5s,4925.0,0.69,0.64
3341,89.98,,18h52m51.06s,+45d20m59.5s,4925.0,0.69,0.64
3342,89.9,,18h52m51.06s,+45d20m59.5s,4925.0,0.69,0.64
3343,,,19h24m38.25s,+51d20m05.5s,6155.0,1.15,1.22
3344,,,19h23m42.55s,+39d54m50.9s,4521.0,0.72,0.68
3345,,,18h57m54.83s,+40d55m59.2s,4201.0,0.64,0.61
3346,,,19h47m56.81s,+47d28m38.6s,5443.0,0.9,0.86
3347,,,19h40m46.41s,+39d32m22.8s,6117.0,1.1,1.18
3348,,,19h28m36.11s,+39d38m15.3s,5789.0,1.04,0.96
3349,,,19h28m36.11s,+39d38m15.3s,5789.0,1.04,0.96
3350,,,19h14m47.68s,+39d42m29.8s,5813.0,1.01,1.05
3351,,,19h28m25.03s,+39d46m04.5s,6424.0,1.3,1.49
3352,,,19h21m47.82s,+39d51m17.3s,5721.0,1.0,1.28
3353,,,19h17m40.28s,+39d56m42.0s,5444.0,0.93,0.84
3354,87.806,3.0,19h16m54.28s,+49d32m53.5s,5576.0,0.98,0.9
3355,,,19h33m42.49s,+39d56m32.8s,5829.0,1.02,1.04
3356,,,19h47m32.58s,+40d13m41.6s,6185.0,1.24,1.33
3357,,,19h49m00.63s,+40d17m19.0s,5322.0,0.91,0.84
3358,,,19h40m52.18s,+40d35m32.1s,5899.0,1.02,1.15
3359,,,19h24m46.82s,+40d42m09.7s,6075.0,1.03,1.24
3360,,,19h19m05.58s,+40d48m02.6s,6174.0,1.33,1.51
3361,,,19h34m22.05s,+41d05m42.6s,5203.0,0.85,0.8
3362,,,19h29m40.14s,+41d25m00.8s,6096.0,1.64,2.56
3363,,,18h59m40.66s,+41d37m01.9s,5382.0,0.88,0.93
3364,,,19h28m44.85s,+41d43m37.3s,5896.0,1.14,1.29
3365,,,19h44m07.73s,+42d07m54.0s,5653.0,1.01,0.94
3366,,,19h27m17.64s,+42d30m58.4s,5713.0,1.02,1.13
3367,,,19h35m20.29s,+42d37m29.9s,6570.0,1.4,1.66
3368,,,19h21m18.56s,+42d53m53.8s,4908.0,1.0,2.52
3369,,,19h41m54.18s,+43d29m35.3s,6747.0,1.49,1.81
3370,,,19h21m17.46s,+44d02m08.9s,6170.0,1.13,1.21
3371,,,19h21m53.12s,+44d23m13.5s,5634.0,0.93,0.91
3372,,,18h59m09.19s,+44d35m30.0s,6020.0,1.03,1.07
3373,,,18h59m09.19s,+44d35m30.0s,6020.0,1.03,1.07
3374,,,18h55m35.92s,+45d01m00.8s,5741.0,1.05,0.98
3375,,,19h02m37.42s,+45d04m46.4s,5871.0,0.97,0.94
3376,,,19h14m45.29s,+41d09m04.2s,6211.0,1.25,1.41
3377,,,19h14m45.29s,+41d09m04.2s,6211.0,1.25,1.41
3378,,,19h14m45.29s,+41d09m04.2s,6211.0,1.25,1.41
3379,127.0,,19h14m45.29s,+41d09m04.2s,6211.0,1.25,1.41
3380,,,19h16m00.21s,+45d09m15.4s,5849.0,1.08,1.35
3381,,,19h09m19.87s,+46d12m12.6s,5522.0,0.92,0.87
3382,,,19h12m01.95s,+46d28m24.8s,5490.0,0.97,0.88
3383,,,18h48m51.10s,+46d43m04.1s,5665.0,1.02,1.19
3384,,,18h48m51.10s,+46d43m04.1s,5665.0,1.02,1.19
3385,,,19h48m16.42s,+46d50m03.4s,5865.0,1.04,1.11
3386,,,19h49m02.18s,+46d50m35.5s,6170.0,1.15,1.24
3387,,,19h13m18.70s,+47d22m53.7s,5281.0,0.86,0.82
3388,,,19h24m47.35s,+47d18m28.1s,5808.0,1.01,1.01
3389,,,18h51m56.11s,+47d34m42.9s,4103.0,0.63,0.6
3390,,,19h10m25.97s,+47d30m34.9s,4870.0,0.79,0.74
3391,,,19h35m55.58s,+46d41m15.9s,5962.0,1.04,0.97
3392,,,19h12m33.18s,+47d43m28.0s,4779.0,0.75,0.71
3393,,,18h54m50.61s,+47d51m47.8s,4483.0,0.7,0.67
3394,,,19h21m51.63s,+47d55m45.0s,4897.0,0.79,0.74
3395,,,19h51m13.98s,+47d56m48.0s,5264.0,0.86,0.82
3396,,,19h15m01.17s,+48d13m34.3s,5754.0,1.01,1.02
3397,,,19h48m06.15s,+48d28m42.9s,4913.0,0.79,0.74
3398,,,19h53m49.64s,+48d47m29.7s,5887.0,1.03,1.05
3399,,,19h42m13.21s,+49d01m02.4s,5327.0,0.91,0.87
3400,,,19h01m59.82s,+49d16m38.5s,5352.0,0.87,0.82
3401,,,19h27m44.68s,+49d15m14.3s,6038.0,1.15,1.2
3402,,,19h36m36.80s,+46d09m59.2s,5331.0,0.86,0.78
3403,,,19h48m03.71s,+49d13m31.1s,5709.0,0.99,0.99
3404,,,19h37m03.79s,+49d18m50.7s,5624.0,0.97,0.95
3405,,,19h26m53.28s,+49d28m51.2s,5627.0,0.95,0.92
3406,,,19h23m08.58s,+50d03m14.8s,5355.0,0.88,0.84
3407,,,19h00m42.29s,+50d08m59.3s,4192.0,0.6,0.57
3408,,,19h35m20.00s,+50d13m49.3s,4945.0,0.79,0.75
3409,,,19h44m53.27s,+50d17m14.1s,3701.0,0.51,0.49
3410,,,19h20m23.54s,+50d19m17.8s,5723.0,1.0,0.99
3411,,,19h41m49.27s,+50d29m40.4s,5520.0,0.94,0.91
3412,,,19h44m05.12s,+50d34m04.0s,5403.0,0.87,0.84
3413,,,19h24m07.75s,+49d02m25.0s,5793.0,1.08,1.24
3414,,,19h24m07.75s,+49d02m25.0s,5793.0,1.08,1.24
3415,,,19h24m07.75s,+49d02m25.0s,5793.0,1.08,1.24
3416,,,19h26m29.38s,+50d37m05.7s,5890.0,1.08,1.11
3417,,,19h17m35.93s,+51d15m01.2s,5021.0,0.8,0.76
3418,,,19h16m26.93s,+51d44m14.6s,5559.0,0.92,0.89
3419,,,19h25m45.60s,+37d54m20.4s,5703.0,0.96,0.95
3420,,,19h23m28.92s,+38d16m25.1s,5493.0,0.89,0.86
3421,,,19h35m29.26s,+38d25m22.6s,5963.0,1.11,1.16
3422,,,19h00m51.31s,+39d01m38.9s,5649.0,0.94,0.92
3423,,,19h17m15.71s,+39d09m11.8s,4841.0,0.77,0.73
3424,,,19h38m37.26s,+39d18m30.1s,5715.0,0.98,0.96
3425,,,19h38m50.55s,+39d31m18.3s,5518.0,0.91,0.88
3426,89.62,,19h33m02.63s,+44d52m08.0s,5638.0,0.81,0.93
3427,89.85,,19h33m02.63s,+44d52m08.0s,5638.0,0.81,0.93
3428,,,19h37m57.58s,+39d46m17.2s,5913.0,1.11,1.16
3429,,,19h15m14.88s,+40d02m00.2s,3715.0,0.53,0.5
3430,,,19h39m06.44s,+40d09m13.5s,5440.0,0.9,0.86
3431,,,18h53m00.85s,+40d21m29.5s,4881.0,0.76,0.72
3432,,,19h24m35.88s,+40d25m13.9s,5700.0,0.97,0.95
3433,,,19h57m15.86s,+40d49m20.5s,5181.0,0.84,0.8
3434,,,19h33m59.19s,+41d08m15.3s,5903.0,1.06,1.08
3435,,,18h55m27.45s,+41d20m47.2s,5513.0,0.92,0.88
3436,,,19h14m02.40s,+41d18m06.4s,5612.0,0.94,0.91
3437,,,19h47m33.17s,+41d23m45.9s,5330.0,0.81,0.78
3438,85.161,0.14,19h14m19.56s,+41d05m23.3s,5933.0,1.36,1.97
3439,,,19h08m37.03s,+41d33m56.8s,5692.0,0.98,0.96
3440,,,19h15m58.60s,+41d37m59.8s,5343.0,0.88,0.84
3441,,,19h35m30.75s,+41d39m42.4s,5419.0,0.9,0.86
3442,,,19h56m44.85s,+41d44m33.7s,6185.0,1.18,1.27
3443,,,18h53m15.93s,+41d50m13.6s,5616.0,0.97,0.96
3444,,,19h18m02.04s,+41d48m43.6s,3722.0,0.53,0.51
3445,,,19h27m02.50s,+41d56m38.7s,5394.0,0.87,0.84
3446,,,19h20m01.82s,+42d06m59.3s,5099.0,0.8,0.76
3447,,,19h35m15.95s,+42d12m45.0s,5692.0,0.97,0.96
3448,,,19h28m25.25s,+42d22m49.1s,5071.0,0.8,0.77
3449,,,19h27m51.40s,+42d41m46.1s,5611.0,0.94,0.91
3450,,,19h49m50.40s,+42d50m23.7s,5222.0,0.84,0.8
3451,,,19h39m38.34s,+42d56m06.9s,5148.0,0.84,0.78
3452,,,19h39m38.34s,+42d56m06.9s,5148.0,0.84,0.78
3453,,,19h42m36.36s,+43d01m47.4s,5785.0,0.98,0.99
3454,,,18h50m47.89s,+43d16m21.9s,5995.0,1.09,1.12
3455,,,18h54m31.38s,+43d22m45.8s,5871.0,1.04,1.04
3456,,,19h21m34.37s,+43d21m50.0s,5099.0,0.83,0.78
3457,,,19h21m34.37s,+43d21m50.0s,5099.0,0.83,0.78
3458,,,19h31m51.73s,+43d20m47.0s,5485.0,0.88,0.85
3459,,,19h58m14.85s,+43d30m12.8s,6191.0,1.18,1.3
3460,,,19h42m08.67s,+43d53m04.0s,5777.0,0.99,0.98
3461,,,19h54m32.56s,+44d10m15.4s,5618.0,0.95,0.92
3462,,,18h57m43.32s,+44d28m49.9s,5075.0,0.82,0.78
3463,,,19h21m03.19s,+44d33m23.2s,5863.0,1.03,1.05
3464,,,19h21m03.19s,+44d33m23.2s,5863.0,1.03,1.05
3465,,,18h59m19.31s,+44d39m29.3s,5539.0,0.92,0.89
3466,,,19h33m49.16s,+44d47m34.1s,5437.0,0.9,0.86
3467,,,18h55m54.60s,+44d48m41.6s,5363.0,0.88,0.84
3468,,,19h26m52.15s,+44d53m14.3s,5452.0,0.88,0.85
3469,,,19h39m23.26s,+45d02m03.9s,5441.0,0.89,0.86
3470,,,19h24m22.17s,+45d06m55.9s,5660.0,0.95,0.93
3471,,,19h05m26.43s,+45d24m51.5s,5633.0,0.94,0.91
3472,86.96,,19h02m13.15s,+45d34m43.9s,5620.0,1.05,1.41
3473,83.81,,19h02m13.15s,+45d34m43.9s,5620.0,1.05,1.41
3474,,,19h45m34.36s,+45d34m06.8s,5849.0,1.03,1.06
3475,,,18h54m55.69s,+45d57m31.6s,3631.0,0.49,0.46
3476,,,18h54m55.69s,+45d57m31.6s,3631.0,0.49,0.46
3477,,,19h32m04.39s,+45d54m52.9s,5418.0,0.9,0.86
3478,,,19h48m10.95s,+46d01m38.5s,5326.0,0.85,0.78
3479,,,18h58m45.33s,+46d10m20.1s,5107.0,0.85,0.8
3480,,,19h01m33.92s,+46d10m51.4s,5217.0,0.86,0.81
3481,,,19h27m27.08s,+46d25m45.3s,3813.0,0.51,0.48
3482,,,19h10m16.72s,+46d34m04.3s,5327.0,0.86,0.82
3483,,,19h20m16.32s,+46d34m44.9s,5601.0,0.93,0.9
3484,87.46,0.88,19h32m22.21s,+41d21m19.9s,6000.0,1.18,1.12
3485,,,19h05m55.74s,+46d41m32.8s,5438.0,0.91,0.87
3486,,,19h17m43.61s,+46d37m03.1s,6129.0,1.16,1.24
3487,,,18h55m27.84s,+46d47m22.5s,4642.0,0.76,0.71
3488,,,19h42m17.80s,+42d48m23.2s,5486.0,0.94,0.85
3489,,,19h45m59.07s,+47d10m58.3s,5594.0,0.94,0.93
3490,,,19h25m59.86s,+37d03m33.4s,5849.0,1.04,1.04
3491,,,19h22m43.74s,+37d21m18.4s,5418.0,0.91,0.93
3492,,,19h13m39.96s,+41d01m47.3s,5096.0,0.82,0.78
3493,,,19h29m03.10s,+37d14m13.2s,5934.0,1.07,1.1
3494,,,19h59m35.34s,+43d54m14.1s,5009.0,0.79,0.75
3495,89.12,11.0,19h24m33.02s,+36d34m38.6s,5200.0,0.91,0.89
3496,,,19h16m23.25s,+44d00m15.8s,6160.0,1.15,1.23
3497,,,19h16m23.25s,+44d00m15.8s,6160.0,1.15,1.23
3498,,,19h39m22.52s,+44d04m39.7s,5387.0,0.87,0.84
3499,,,19h29m04.35s,+37d57m20.4s,5373.0,0.87,0.83
3500,,,19h27m36.79s,+37d54m08.2s,4346.0,0.68,0.65
3501,,,19h33m00.99s,+37d50m46.3s,5935.0,1.06,1.08
3502,,,19h47m26.64s,+41d05m50.4s,5043.0,0.82,0.77
3503,,,19h47m26.64s,+41d05m50.4s,5043.0,0.82,0.77
3504,,,19h22m25.91s,+41d12m03.9s,5282.0,0.82,0.79
3505,,,19h46m43.31s,+41d23m11.5s,6014.0,1.08,1.13
3506,,,19h32m20.31s,+41d08m07.6s,6228.0,1.16,1.42
3507,,,19h32m20.31s,+41d08m07.6s,6228.0,1.16,1.42
3508,,,19h32m20.31s,+41d08m07.6s,6228.0,1.16,1.42
3509,,,19h32m20.31s,+41d08m07.6s,6228.0,1.16,1.42
3510,,,19h20m31.56s,+41d22m53.4s,5860.0,1.04,1.04
3511,77.55,1.1,19h36m46.11s,+39d37m08.4s,6409.0,1.2,1.32
3512,,,19h10m22.37s,+44d10m45.9s,5322.0,0.89,0.85
3513,,,19h10m22.37s,+44d10m45.9s,5322.0,0.89,0.85
3514,,,19h22m00.86s,+44d08m36.9s,5706.0,0.95,0.93
3515,,,19h25m06.15s,+47d19m46.2s,5944.0,1.06,1.08
3516,,,19h28m34.67s,+47d09m26.5s,5166.0,0.84,0.8
3517,,,19h49m34.36s,+47d09m52.7s,5557.0,0.92,0.89
3518,,,18h52m44.31s,+47d09m20.4s,5901.0,1.05,1.06
3519,,,19h32m44.29s,+37d58m11.5s,5992.0,1.1,1.15
3520,,,19h26m19.00s,+38d02m09.0s,5694.0,0.96,0.94
3521,,,19h36m27.76s,+38d23m36.5s,5108.0,0.82,0.78
3522,,,19h30m51.14s,+38d21m29.6s,6186.0,1.19,1.28
3523,,,19h30m51.14s,+38d21m29.6s,6186.0,1.19,1.28
3524,88.0,0.603,19h18m25.91s,+44d20m43.5s,5520.0,0.95,0.99
3525,,,19h05m57.70s,+38d22m29.7s,5598.0,0.94,0.92
3526,,,19h05m57.70s,+38d22m29.7s,5598.0,0.94,0.92
3527,,,19h05m57.70s,+38d22m29.7s,5598.0,0.94,0.92
3528,,,19h09m46.58s,+38d05m18.4s,5906.0,1.03,1.05
3529,,,19h25m41.66s,+38d12m59.7s,5714.0,0.98,1.11
3530,,,19h23m32.32s,+38d03m27.2s,5850.0,1.04,1.01
3531,,,19h24m07.66s,+38d12m43.0s,6403.0,1.57,2.42
3532,,,19h25m43.99s,+41d42m12.4s,5468.0,0.92,0.84
3533,,,19h09m05.43s,+41d38m08.0s,5071.0,0.83,0.78
3534,,,18h50m53.77s,+44d20m47.3s,4043.0,0.58,0.56
3535,,,19h09m54.58s,+44d14m15.1s,5102.0,0.81,0.77
3536,,,19h02m30.85s,+44d18m39.2s,3804.0,0.46,0.44
3537,79.0,,19h34m58.01s,+44d26m54.0s,5089.0,0.84,0.75
3538,,,18h47m03.93s,+44d17m33.2s,5769.0,1.01,1.02
3539,,,19h10m36.87s,+47d24m53.3s,5162.0,0.81,0.78
3540,,,19h15m28.38s,+47d45m34.0s,5867.0,0.98,1.01
3541,,,19h24m15.10s,+47d29m05.3s,5521.0,0.93,0.89
3542,,,19h24m15.10s,+47d29m05.3s,5521.0,0.93,0.89
3543,,,19h43m40.96s,+47d26m55.0s,5674.0,1.0,1.32
3544,,,19h28m16.39s,+38d50m32.1s,4739.0,0.77,0.71
3545,,,19h34m58.55s,+38d56m21.4s,4838.0,0.81,0.74
3546,,,19h26m46.19s,+38d34m22.5s,4248.0,0.65,0.62
3547,,,19h20m00.10s,+38d32m23.6s,6159.0,1.16,1.23
3548,,,19h43m54.04s,+38d56m47.9s,5870.0,1.01,1.02
3549,88.78,1.43,20h02m04.11s,+44d22m53.7s,6174.0,1.17,1.3
3550,89.48,0.62,20h02m04.11s,+44d22m53.7s,6174.0,1.17,1.3
3551,89.93,0.09,20h02m04.11s,+44d22m53.7s,6174.0,1.17,1.3
3552,89.13,0.53,20h02m04.11s,+44d22m53.7s,6174.0,1.17,1.3
3553,,,19h07m40.11s,+38d52m20.0s,5208.0,0.84,0.8
3554,,,19h34m23.00s,+39d01m46.1s,6383.0,1.3,1.47
3555,,,19h28m01.64s,+38d49m14.6s,5971.0,1.09,1.12
3556,,,19h40m51.99s,+38d46m27.6s,5745.0,0.98,0.97
3557,,,19h12m32.09s,+38d59m48.8s,5839.0,1.19,1.38
3558,,,19h24m04.57s,+38d32m44.1s,5631.0,0.94,0.96
3559,,,19h09m13.89s,+39d08m41.0s,5475.0,0.93,1.09
3560,,,19h48m50.15s,+41d46m54.1s,5680.0,0.96,0.95
3561,,,19h29m54.77s,+42d08m32.2s,6224.0,1.19,1.29
3562,,,19h08m41.97s,+44d52m42.9s,5681.0,0.95,0.93
3563,83.978,0.27,18h45m09.15s,+42d27m03.9s,6213.0,1.21,1.49
3564,89.34,1.38,19h44m27.02s,+39d58m43.6s,4540.0,0.73,0.68
3565,89.33,1.22,19h44m27.02s,+39d58m43.6s,4540.0,0.73,0.68
3566,88.35,7.04,19h44m27.02s,+39d58m43.6s,4540.0,0.73,0.68
3567,88.79,3.75,19h44m27.02s,+39d58m43.6s,4540.0,0.73,0.68
3568,86.5,,19h44m27.02s,+39d58m43.6s,4540.0,0.73,0.68
3569,89.35,,19h44m27.02s,+39d58m43.6s,4540.0,0.73,0.68
3570,,,19h06m17.96s,+44d47m42.7s,5315.0,0.85,0.82
3571,,,19h04m18.06s,+44d39m52.7s,4435.0,0.67,0.63
3572,,,19h04m03.81s,+45d00m28.0s,5507.0,0.93,0.9
3573,,,19h56m53.19s,+44d41m37.9s,5919.0,1.05,1.12
3574,,,19h33m29.34s,+44d47m06.5s,5817.0,1.01,1.05
3575,,,19h33m29.34s,+44d47m06.5s,5817.0,1.01,1.05
3576,,,19h32m55.19s,+45d03m11.9s,6112.0,1.19,1.65
3577,,,19h44m01.69s,+44d51m12.4s,5770.0,0.99,1.16
3578,,,19h16m04.84s,+48d07m11.3s,5965.0,1.04,1.06
3579,,,19h26m22.58s,+48d26m44.2s,4653.0,0.76,0.71
3580,,,19h16m20.07s,+48d01m05.3s,5734.0,0.99,0.98
3581,,,19h34m32.87s,+42d49m29.9s,4500.0,,0.59
3582,,,19h34m32.87s,+42d49m29.9s,4500.0,,0.59
3583,,,19h34m32.87s,+42d49m29.9s,4500.0,,0.59
3584,,,19h46m27.57s,+48d04m57.5s,5803.0,1.03,1.04
3585,,,19h01m41.83s,+47d50m04.6s,5747.0,1.01,1.24
3586,,,19h15m25.27s,+48d12m30.7s,6761.0,1.45,1.71
3587,,,19h02m39.05s,+48d26m07.3s,5743.0,0.95,0.93
3588,,,18h59m38.52s,+48d25m53.9s,6162.0,1.15,1.22
3589,,,19h00m53.07s,+47d52m53.0s,5028.0,1.25,3.42
3590,,,19h33m27.08s,+39d12m44.8s,5286.0,0.9,0.85
3591,,,19h44m19.65s,+39d09m41.8s,5861.0,1.03,1.03
3592,,,19h44m56.43s,+39d22m13.2s,5638.0,0.94,0.92
3593,,,19h41m28.99s,+39d10m38.0s,5279.0,0.86,0.81
3594,89.052,0.98,19h31m29.61s,+42d57m58.1s,,0.91,0.9
3595,90.15,0.494,19h31m29.61s,+42d57m58.1s,,0.91,0.9
3596,,,19h31m29.61s,+42d57m58.1s,,0.91,0.9
3597,,,19h31m29.61s,+42d57m58.1s,,0.91,0.9
3598,86.3,,19h31m29.61s,+42d57m58.1s,,0.91,0.9
3599,,,19h24m04.83s,+39d13m14.4s,6260.0,1.23,1.36
3600,,,19h02m28.18s,+39d22m46.3s,5191.0,0.84,0.8
3601,,,19h29m06.27s,+39d33m00.6s,5928.0,1.06,1.08
3602,,,18h58m19.82s,+39d13m12.7s,5643.0,0.98,0.96
3603,,,19h21m54.58s,+39d43m55.2s,6035.0,1.15,1.22
3604,,,19h39m04.78s,+39d23m54.7s,5976.0,1.03,1.08
3605,,,19h39m04.78s,+39d23m54.7s,5976.0,1.03,1.08
3606,,,18h59m26.43s,+39d14m26.0s,6079.0,1.05,1.15
3607,,,19h39m51.85s,+42d42m30.8s,5602.0,0.93,0.91
3608,,,19h07m32.95s,+42d28m16.5s,5039.0,0.81,0.77
3609,,,18h49m19.87s,+42d27m49.8s,5698.0,0.98,0.97
3610,,,18h48m55.81s,+43d39m56.3s,4648.0,,0.59
3611,,,18h48m55.81s,+43d39m56.3s,4648.0,,0.59
3612,,,18h48m55.81s,+43d39m56.3s,4648.0,,0.59
3613,,,19h40m13.03s,+42d45m24.6s,6037.0,1.07,1.11
3614,,,19h39m56.52s,+42d43m39.6s,5732.0,0.99,0.97
3615,,,19h43m42.26s,+45d23m01.9s,5596.0,0.92,0.9
3616,,,19h21m55.19s,+45d36m02.5s,4339.0,0.64,0.62
3617,,,19h08m13.08s,+45d10m49.3s,4554.0,0.7,0.66
3618,,,18h54m17.82s,+45d44m05.3s,5954.0,1.08,1.11
3619,,,19h09m48.67s,+45d42m15.8s,5895.0,1.03,1.04
3620,,,19h00m59.20s,+45d57m00.7s,5403.0,0.85,0.81
3621,,,19h01m44.52s,+45d58m33.7s,5770.0,0.98,0.96
3622,,,19h24m17.92s,+45d14m33.3s,6058.0,1.22,1.31
3623,,,19h53m00.49s,+40d29m45.9s,6031.0,,1.17
3624,,,19h53m00.49s,+40d29m45.9s,6031.0,,1.17
3625,,,19h53m00.49s,+40d29m45.9s,6031.0,,1.17
3626,,,19h53m00.49s,+40d29m45.9s,6031.0,,1.17
3627,,,19h53m00.49s,+40d29m45.9s,6031.0,,1.17
